TDH3
PDC1
PGK1
HSP26
HSP12
GPM1
ENO1
SSA1
AHP1
SIP18
TSA1
TPI1
SPO24
NCE102
ATP2
PBI2
SED1
CPR1
RPL29
CIT1
HSC82
GRE1
PSA1
HXK1
MDH1
YEF3
MRH1
SSB2
SOD1
RPP2A
ACO1
PMA1
ACH1
MLS1
RTC3
RPL37A
GND1
HOR7
PIL1
ATP1
GLK1
ALD4
HSP30
RPS25A
RPP1B
ICL1
RPL41B
TDH2
WTM1
ALD6
ADH4
TRX2
PGM2
SSB1
QCR2
HXK2
STM1
OM14
RPS17B
SSA2
RPS1B
RGI1
RPL41A
SHM2
LPD1
PNC1
SOD2
RPS30B
LSP1
RPL37B
LYS9
PCK1
FPR1
ATP5
RNR2
RPL4A
HTB2
RPS6A
HSP104
RPS17A
TMA19
TMA10
PAI3
RPS1A
EGD2
RPP2B
RPS10A
TAL1
STF2
AAT2
ILV5
RPL34A
RPS0A
MET6
DDR48
RTN1
ATP7
RPL8B
IPP1
RPS29A
LYS12
RNR4
IDH2
RPS10B
STF1
RPL24A
DDR2
MBF1
HTA2
HSP82
VMA4
RPS19A
RPS0B
RPL26B
PMP3
RDL1
PDA1
CTT1
RPS6B
YOP1
MMF1
COX4
TIF1
ACS1
CDC48
PFK1
RPS21B
RPL26A
SSE1
MDH2
SPG4
RPS25B
GPH1
GCV3
COR1
GPD1
KGD2
QCR7
PRX1
RPL19B
RPL9A
SDH2
YNK1
SDH4
OYE2
PFK2
FMP16
SDH1
ACB1
FMP45
RPS28A
VMA2
LAT1
ADK1
COX5A
TPS1
GDH1
RPS26B
ERG10
COX6
MSC1
IDH1
HYR1
RPL11B
LYS20
FAS1
RPS28B
RPL9B
VMA1
HSP10
RPL17B
STI1
EFT2
ATP14
RTN2
OM45
PCS60
TMA7
QCR6
GRE3
ADE3
RPL16A
BMH2
RPL13A
MPC2
ILV3
VMA13
RPL14B
SIS1
ILS1
RIB4
HXT7
ABP1
RPL27B
SSZ1
HSP42
RPL6B
TFS1
ADE17
PFY1
CYT1
PST2
FUM1
SGT2
HIS4
OLA1
TMA17
ARC1
SSA4
GRS1
YET3
TRX1
AIM41
RPL4B
ADH3
ECM15
VMA10
TUF1
RPL1A
GSY2
MRP8
GAS1
SAC6
DPS1
SBA1
SOL4
SNA2
AIM17
MIX17
LEU4
RPS27A
GLN1
PET10
YRO2
HHT1
CWP2
RPL33B
GSP2
FAA1
GUK1
NQM1
IDP2
FAS2
RPL12A
HBT1
EGD1
GRX1
HOM6
CYS4
CPR6
HSP31
PMP2
CHC1
SDH3
RPS7B
UGP1
PYC1
MCR1
ATP20
PUB1
IMD3
CLC1
TKL1
TRP5
INH1
GPP1
MFA2
SER1
ZUO1
ACC1
PAM17
ARB1
SEC53
PYC2
SSA3
LSC1
DUG1
SBP1
MDH3
VMA8
SRV2
RPS24B
ATX1
ARP2
OST4
CCW12
LYS21
VPS1
