gene,systematicName,intensity
,YBL095W,0.0700589970501475
,YBL096C,0.00055187637969095
BRN1,YBL097W,0.0112322431450281
BNA4,YBL098W,0.0317725752508361
ATP1,YBL099W,4.20304017372421
,YBL100W-C,0.0154320987654321
ECM21,YBL101C,0.0626086956521739
SFT2,YBL102W,0.0821167883211679
RTG3,YBL103C,0.032435129740519
SEA4,YBL104C,0.0243478260869565
PKC1,YBL105C,0.051980198019802
SRO77,YBL106C,0.00232288037166086
,YBL107W-A,-0.0011037527593819
PAU9,YBL108C-A,0.000509683995922529
,YBL109W,0.000551876379690949
,YBL112C,0.000509683995922527
,YBL113W-A,0.0
NTH2,YBR001C,0.0273704789833822
RER2,YBR002C,0.064804469273743
COQ1,YBR003W,0.126599326599327
RCR1,YBR005W,0.0188628402047966
UGA2,YBR006W,0.282546494992847
DSF2,YBR007C,0.0074487895716946
FLR1,YBR008C,0.00165016501650165
HHT1,YBR010W,1.27637130801688
IPP1,YBR011C,2.4789029535865
,YBR012C,0.00423011844331641
,YBR013C,0.0134078212290503
GRX7,YBR014C,0.00670391061452514
MNN2,YBR015C,0.038752052545156
,YBR016W,0.334954078876283
KAP104,YBR017C,0.208536982730531
GAL7,YBR018C,0.00432198811453269
GAL10,YBR019C,0.00968342644320298
GAL1,YBR020W,-0.00148975791433892
FUR4,YBR021W,0.00174216027874564
POA1,YBR022W,0.1512104283054
CHS3,YBR023C,0.038698328935796
SCO2,YBR024W,0.114337568058076
OLA1,YBR025C,1.42150537634409
,YBR027C,
YPK3,YBR028C,0.0623306233062331
CDS1,YBR029C,0.0074487895716946
RKM3,YBR030W,0.0209478921183556
RPL4A,YBR031W,2.83906525573192
,YBR032W,0.0258397932816537
EDS1,YBR033W,0.00893854748603352
HMT1,YBR034C,0.122026887280248
CSG2,YBR036C,0.071451355661882
SCO1,YBR037C,0.286021505376344
CHS2,YBR038W,0.00417766051011433
FIG1,YBR040W,0.00893854748603352
QDR3,YBR043C,0.00641025641025641
TCM62,YBR044C,0.0342644320297952
GIP1,YBR045C,0.0037243947858473
ZTA1,YBR046C,0.479111890154835
FMP23,YBR047W,0.067741935483871
RPS11B,YBR048W,0.116923076923077
REB1,YBR049C,0.148239148239148
REG2,YBR050C,0.0283054003724395
RFS1,YBR052C,0.788688138256088
,YBR053C,0.645065176908752
YRO2,YBR054W,1.27707199032063
PRP6,YBR055C,0.0263288623944362
,YBR056C-B,0.0050761421319797
,YBR056W,0.351443123938879
,YBR056W-A,0.0453808752025932
MUM2,YBR057C,0.0338753387533875
UBP14,YBR058C,0.0391817919907807
TSC3,YBR058C-A,0.0361088655348962
AKL1,YBR059C,0.0973597359735974
ORC2,YBR060C,0.0139902676399027
TRM7,YBR061C,0.108695652173913
,YBR062C,0.0118854673149649
,YBR063C,0.000881834215167548
,YBR064W,0.00169204737732657
NRG2,YBR066C,0.00349301397205589
TIP1,YBR067C,0.608566108007449
BAP2,YBR068C,0.0499457111834962
TAT1,YBR069C,0.0256410256410256
,YBR071W,0.00640512409927942
,YBR072C-A,0.0476722532588454
HSP26,YBR072W,20.3099323972959
RDH54,YBR073W,0.00726792203501817
PFF1,YBR074W,0.00521415270018622
,YBR076C-A,0.00607064017660044
ECM8,YBR076W,0.0134078212290503
SLM4,YBR077C,0.184409540430483
ECM33,YBR078W,0.639851024208566
RPG1,YBR079C,0.422343324250681
SEC18,YBR080C,0.357963875205255
SPT7,YBR081C,0.0356629278113316
UBC4,YBR082C,0.0159795461808885
TEC1,YBR083W,0.00548902195608782
RPL19A,YBR084C-A,0.0021505376344086
MIS1,YBR084W,0.144356955380577
,YBR085C-A,1.4874696847211
AAC3,YBR085W,0.00811209439528024
IST2,YBR086C,0.313358302122347
RFC5,YBR087W,0.18628912071535
POL30,YBR088C,0.483493077742279
