gene,goId
ARO1,"['GO:0003855', 'GO:0003856', 'GO:0003866', 'GO:0004764', 'GO:0004765', 'GO:0009423', 'GO:0000166', 'GO:0003824', 'GO:0003855', 'GO:0003856', 'GO:0003866', 'GO:0004764', 'GO:0004765', 'GO:0005524', 'GO:0016301', 'GO:0016491', 'GO:0016740', 'GO:0016829', 'GO:0046872', 'GO:0008152', 'GO:0008652', 'GO:0009073', 'GO:0009423', 'GO:0016310', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0003824', 'GO:0003824', 'GO:0046872', 'GO:0003856', 'GO:0003856', 'GO:0003855', 'GO:0003855', 'GO:0004764', 'GO:0004764', 'GO:0004765', 'GO:0004765', 'GO:0003866', 'GO:0003866', 'GO:0003866', 'GO:0003866', 'GO:0003866', 'GO:0003866', 'GO:0009423', 'GO:0009423', 'GO:0009423', 'GO:0009423', 'GO:0009423', 'GO:0003855', 'GO:0003856', 'GO:0003866', 'GO:0004764', 'GO:0004765', 'GO:0005524', 'GO:0016765', 'GO:0016765', 'GO:0005737', 'GO:0005737', 'GO:0009073', 'GO:0009073', 'GO:0009073', 'GO:0009073', 'GO:0005737', 'GO:0003855', 'GO:0003855', 'GO:0003855', 'GO:0003866', 'GO:0003866', 'GO:0004764', 'GO:0004764', 'GO:0004764', 'GO:0004765']"
ARO10,"['GO:0016831', 'GO:0050177', 'GO:0050177', 'GO:0000949', 'GO:0000949', 'GO:0000949', 'GO:0000950', 'GO:0000950', 'GO:0000950', 'GO:0000950', 'GO:0000951', 'GO:0006552', 'GO:0006552', 'GO:0006552', 'GO:0006552', 'GO:0006552', 'GO:0006559', 'GO:0006559', 'GO:0006559', 'GO:0006559', 'GO:0006569', 'GO:0006569', 'GO:0006569', 'GO:0005737', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0016831', 'GO:0030976', 'GO:0030976', 'GO:0030976', 'GO:0000287', 'GO:0003824', 'GO:0016829', 'GO:0016831', 'GO:0046872', 'GO:0047433', 'GO:0047434', 'GO:0050177', 'GO:0050546', 'GO:0000955', 'GO:0006559', 'GO:0006569', 'GO:0006572', 'GO:0009083', 'GO:0005737', 'GO:0005737', 'GO:0016831', 'GO:0016831', 'GO:0016831', 'GO:0016831', 'GO:0016831']"
ARO3,"['GO:0003849', 'GO:0009423', 'GO:0005634', 'GO:0005737', 'GO:0003849', 'GO:0016740', 'GO:0008652', 'GO:0009073', 'GO:0009423', 'GO:0005739', 'GO:0005739', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0009073', 'GO:0009073', 'GO:0009073', 'GO:0009073', 'GO:0009073', 'GO:0003849', 'GO:0003849', 'GO:0003849', 'GO:0003849', 'GO:0003849', 'GO:0003849', 'GO:0003849', 'GO:0003849', 'GO:0009073', 'GO:0009058', 'GO:0003824', 'GO:0003849']"
ARO4,"['GO:0009058', 'GO:0003849', 'GO:0009423', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0003849', 'GO:0016740', 'GO:0008652', 'GO:0009073', 'GO:0009423', 'GO:0003824', 'GO:0003849', 'GO:0009073', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005737', 'GO:0009073', 'GO:0009073', 'GO:0009073', 'GO:0009073', 'GO:0009073', 'GO:0003849', 'GO:0003849', 'GO:0003849', 'GO:0003849', 'GO:0003849', 'GO:0003849', 'GO:0003849', 'GO:0003849']"
ARO7,"['GO:0004106', 'GO:0006571', 'GO:0006571', 'GO:0009094', 'GO:0009094', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0003824', 'GO:0004106', 'GO:0016853', 'GO:0006571', 'GO:0008152', 'GO:0008652', 'GO:0009073', 'GO:0009094', 'GO:0005737', 'GO:0005737', 'GO:0005634', 'GO:0005737', 'GO:0004106', 'GO:0004106', 'GO:0009073', 'GO:0009073', 'GO:0046417', 'GO:0004106', 'GO:0004106', 'GO:0004106', 'GO:0004106', 'GO:0004106', 'GO:0004106', 'GO:0009073', 'GO:0009073', 'GO:0009073', 'GO:0009073', 'GO:0009073']"
ARO8,"['GO:0003824', 'GO:0030170', 'GO:0009058', 'GO:0008793', 'GO:0047536', 'GO:0006571', 'GO:0009094', 'GO:0047536', 'GO:0009072', 'GO:0009074', 'GO:0009074', 'GO:0009074', 'GO:0019878', 'GO:0019878', 'GO:0019878', 'GO:0005737', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008793', 'GO:0008793', 'GO:0008793', 'GO:0008793', 'GO:0008793', 'GO:0047536', 'GO:0047536', 'GO:0047536', 'GO:0047536', 'GO:0006571', 'GO:0006571', 'GO:0006571', 'GO:1901605', 'GO:1901605', 'GO:1901605', 'GO:1901605', 'GO:1901605', 'GO:1901605', 'GO:1901605', 'GO:0008483', 'GO:0008793', 'GO:0016740', 'GO:0047536', 'GO:0080130', 'GO:0006571', 'GO:0009094', 'GO:0019509', 'GO:0019878', 'GO:0005737', 'GO:0005737']"
ARO80,"['GO:0000981', 'GO:0000981', 'GO:0009074', 'GO:0045944', 'GO:0045944', 'GO:0005634', 'GO:0043565', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0003677', 'GO:0046872', 'GO:0006559', 'GO:0006569', 'GO:0006572', 'GO:0009083', 'GO:0005634', 'GO:0005634', 'GO:0000981', 'GO:0000981', 'GO:0009074', 'GO:0009074', 'GO:0045944', 'GO:0045944', 'GO:0000981', 'GO:0000981', 'GO:0008270', 'GO:0008270', 'GO:0006355', 'GO:0006355']"
ARO9,"['GO:0009072', 'GO:0008793', 'GO:0036137', 'GO:0006571', 'GO:0009094', 'GO:0009074', 'GO:0009074', 'GO:0009074', 'GO:0019878', 'GO:0019878', 'GO:0019878', 'GO:0005634', 'GO:0005737', 'GO:0008483', 'GO:0008793', 'GO:0016212', 'GO:0016740', 'GO:0080130', 'GO:0019509', 'GO:0097053', 'GO:0005737', 'GO:0005737', 'GO:0003824', 'GO:0030170', 'GO:0009058', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008483', 'GO:0008793', 'GO:0008793', 'GO:0008793', 'GO:0008793', 'GO:0008793', 'GO:0047536', 'GO:0047536', 'GO:0047536', 'GO:0047536', 'GO:0006571', 'GO:0006571', 'GO:0006571', 'GO:1901605', 'GO:1901605', 'GO:1901605', 'GO:1901605', 'GO:1901605', 'GO:1901605', 'GO:1901605']"
ARP1,"['GO:0000132', 'GO:0007097', 'GO:0031578', 'GO:0005869', 'GO:0005200', 'GO:0005737', 'GO:0005856', 'GO:0005856', 'GO:0005874', 'GO:0016020', 'GO:0016020', 'GO:0030286']"
ARP10,"['GO:0005200', 'GO:0005200', 'GO:0005200', 'GO:0005737', 'GO:0005869', 'GO:0005869', 'GO:0005869', 'GO:0000278', 'GO:0043486', 'GO:0043486', 'GO:0043486', 'GO:0043486', 'GO:0031491', 'GO:0031491', 'GO:0000812', 'GO:0000812', 'GO:0000812', 'GO:0005737', 'GO:0005856', 'GO:0005856', 'GO:0005874', 'GO:0030286']"
ARP2,"['GO:0005524', 'GO:0005524', 'GO:0005739', 'GO:0016887', 'GO:0000001', 'GO:0030476', 'GO:0032258', 'GO:0034314', 'GO:0051654', 'GO:0005885', 'GO:0030479', 'GO:0030479', 'GO:0000166', 'GO:0003779', 'GO:0005524', 'GO:0005737', 'GO:0005856', 'GO:0030479', 'GO:0044396', 'GO:0051015', 'GO:0051015', 'GO:0005885', 'GO:0005885', 'GO:0005885', 'GO:0005885', 'GO:0005885', 'GO:0034314', 'GO:0034314', 'GO:0034314', 'GO:0034314', 'GO:0034314', 'GO:0034314']"
ARP5,"['GO:0006338', 'GO:0006338', 'GO:0042766', 'GO:0005634', 'GO:0005634', 'GO:0031011', 'GO:0031011', 'GO:0031011', 'GO:0031011', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0030234', 'GO:0005634', 'GO:0005634', 'GO:0006355', 'GO:0006355', 'GO:0006355', 'GO:0031011', 'GO:0031011', 'GO:0031011', 'GO:0031011', 'GO:0031011']"
ARP6,"['GO:0005634', 'GO:0006338', 'GO:0031491', 'GO:0006338', 'GO:0006338', 'GO:0043486', 'GO:0000812', 'GO:0000812', 'GO:0000812', 'GO:0005737', 'GO:0034399', 'GO:0006325', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005737', 'GO:0031491', 'GO:0031491', 'GO:0000812', 'GO:0000812', 'GO:0000812', 'GO:0043486', 'GO:0043486', 'GO:0043486', 'GO:0043486']"
ARP7,"['GO:0003674', 'GO:0006337', 'GO:0006368', 'GO:0042766', 'GO:0045944', 'GO:0005634', 'GO:0016514', 'GO:0016514', 'GO:0016514', 'GO:0016586', 'GO:0016586', 'GO:0006338', 'GO:0006325', 'GO:0005634', 'GO:0005634', 'GO:0003682', 'GO:0003682', 'GO:0003682', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0043967', 'GO:0043967', 'GO:0043967', 'GO:0016514', 'GO:0016514', 'GO:0016514', 'GO:0016514', 'GO:0016514', 'GO:0016514', 'GO:0016514', 'GO:0035267', 'GO:0035267', 'GO:0035267', 'GO:0035267', 'GO:0035267', 'GO:0035267']"
ARP8,"['GO:0003729', 'GO:0006302', 'GO:0006312', 'GO:0006338', 'GO:0006974', 'GO:0005634', 'GO:0031011', 'GO:0031011', 'GO:0006338', 'GO:0031011', 'GO:0000166', 'GO:0005524', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005856', 'GO:0005856', 'GO:0031011', 'GO:0031011', 'GO:0031011', 'GO:0031011', 'GO:0006302', 'GO:0006302', 'GO:0006355', 'GO:0006355', 'GO:0006355']"
ARR1,"['GO:0000976', 'GO:0000976', 'GO:0000976', 'GO:0000976', 'GO:0001228', 'GO:0001228', 'GO:0001228', 'GO:0001228', 'GO:0036003', 'GO:0036003', 'GO:0036003', 'GO:0036003', 'GO:0090575', 'GO:0090575', 'GO:0090575', 'GO:0001228', 'GO:0001228', 'GO:0000978', 'GO:0003677', 'GO:0061395', 'GO:0061395', 'GO:0061395', 'GO:0061395', 'GO:0061395', 'GO:0061395', 'GO:0061395', 'GO:0061395', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0061395', 'GO:0003677', 'GO:0046685', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005737']"
ARR2,"['GO:0030611', 'GO:0030611', 'GO:0046685', 'GO:0005575', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0035335', 'GO:0046685', 'GO:0004725', 'GO:0004725', 'GO:0004725', 'GO:0004725', 'GO:0004725']"
ARR3,"['GO:0015104', 'GO:0015105', 'GO:0015105', 'GO:0015297', 'GO:0015699', 'GO:0015700', 'GO:0005886', 'GO:0005886', 'GO:0005886', 'GO:0055085', 'GO:0015103', 'GO:0015297', 'GO:0016020', 'GO:0016021', 'GO:0015297', 'GO:0006811', 'GO:0046685', 'GO:0005886', 'GO:0005886', 'GO:0016020', 'GO:0016021', 'GO:0015104', 'GO:0015104', 'GO:0015105', 'GO:0015105', 'GO:0015297', 'GO:0015297', 'GO:0015699', 'GO:0015699', 'GO:0015700', 'GO:0015700']"
ART10,"['GO:0030674', 'GO:0030674', 'GO:0030674', 'GO:0030674', 'GO:0031625', 'GO:0031625', 'GO:0031625', 'GO:0031625', 'GO:0031625', 'GO:0031625', 'GO:0031625', 'GO:0031625', 'GO:0031625', 'GO:0015031', 'GO:0015031', 'GO:0015031', 'GO:0015031', 'GO:0015031', 'GO:0015031', 'GO:0015031', 'GO:0015031', 'GO:0015031', 'GO:0015031', 'GO:0070086', 'GO:0070086', 'GO:0070086', 'GO:0070086', 'GO:0070086', 'GO:0070086', 'GO:0070086', 'GO:0003674', 'GO:0008150', 'GO:0005737', 'GO:0006897', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005829', 'GO:0005829']"
ARV1,"['GO:0003674', 'GO:0006506', 'GO:0006897', 'GO:0030148', 'GO:0032366', 'GO:0035376', 'GO:0035376', 'GO:0035621', 'GO:0097036', 'GO:0005783', 'GO:0005794', 'GO:0032541', 'GO:0005783', 'GO:0005794', 'GO:0005794', 'GO:0032541', 'GO:0032541', 'GO:0032366', 'GO:0006629', 'GO:0006665', 'GO:0006869', 'GO:0000139', 'GO:0005783', 'GO:0005789', 'GO:0005794', 'GO:0016020', 'GO:0016021', 'GO:0006665', 'GO:0006665', 'GO:0006665', 'GO:0006665', 'GO:0016125', 'GO:0016125', 'GO:0016125', 'GO:0032366', 'GO:0032366', 'GO:0097036', 'GO:0097036']"
ARX1,"['GO:0003674', 'GO:0000055', 'GO:0000055', 'GO:0000055', 'GO:0000055', 'GO:0000055', 'GO:0000055', 'GO:0000055', 'GO:0000055', 'GO:0000055', 'GO:0000055', 'GO:0000055', 'GO:0000055', 'GO:0000055', 'GO:0000055', 'GO:0005634', 'GO:0005654', 'GO:0005654', 'GO:0005730', 'GO:0005737', 'GO:0005737', 'GO:0030687', 'GO:0008233', 'GO:0008237', 'GO:0016787', 'GO:0046872', 'GO:0006508', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005737']"
ASA1,"['GO:0003674', 'GO:0008150', 'GO:0070209', 'GO:0006325', 'GO:0005634', 'GO:0005634']"
ASE1,"['GO:0008017', 'GO:0008017', 'GO:0008017', 'GO:0008017', 'GO:0008017', 'GO:0008017', 'GO:0008017', 'GO:0000226', 'GO:0000226', 'GO:0000226', 'GO:0000226', 'GO:0000226', 'GO:0000226', 'GO:0000226', 'GO:0000226', 'GO:0000226', 'GO:0000226', 'GO:0000226', 'GO:0000226', 'GO:0051256', 'GO:0051256', 'GO:0051256', 'GO:0051256', 'GO:0008017', 'GO:0000022', 'GO:0000022', 'GO:0000022', 'GO:0000073', 'GO:0000073', 'GO:0000920', 'GO:0001578', 'GO:0007052', 'GO:0051255', 'GO:0005819', 'GO:0005880', 'GO:0051233', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005819', 'GO:0005819', 'GO:0005819', 'GO:0005819', 'GO:0005819', 'GO:0005819', 'GO:0005819', 'GO:0005819', 'GO:0005819', 'GO:0005819', 'GO:1990023', 'GO:1990023', 'GO:1990023', 'GO:0005737', 'GO:0005874', 'GO:0005737', 'GO:0005819', 'GO:0005856', 'GO:0005874', 'GO:0008017', 'GO:0000226']"
ASF1,"['GO:0042393', 'GO:0042393', 'GO:0042393', 'GO:0042393', 'GO:0006335', 'GO:0006335', 'GO:0006335', 'GO:0006335', 'GO:0006336', 'GO:0006336', 'GO:0006336', 'GO:0006336', 'GO:0042393', 'GO:0001932', 'GO:0006335', 'GO:0006336', 'GO:0006337', 'GO:0010468', 'GO:0016573', 'GO:0030466', 'GO:0032968', 'GO:0033523', 'GO:0035066', 'GO:0035066', 'GO:0035066', 'GO:0035066', 'GO:0035066', 'GO:0035066', 'GO:0035066', 'GO:0035066', 'GO:0035066', 'GO:0035066', 'GO:0035066', 'GO:0035066', 'GO:0035066', 'GO:0043486', 'GO:0043618', 'GO:0005634', 'GO:0005634', 'GO:0005829', 'GO:0031509', 'GO:0000781', 'GO:0050790', 'GO:0006325', 'GO:0005634', 'GO:0005634', 'GO:0006334', 'GO:0006333', 'GO:0006333', 'GO:0006337', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0016573', 'GO:0042393', 'GO:0001207']"
ASF2,"['GO:0003674', 'GO:0005634', 'GO:0000781', 'GO:0005634', 'GO:0030466']"
ASG1,"['GO:0000981', 'GO:0000981', 'GO:0003677', 'GO:0008150', 'GO:0005634', 'GO:0005634', 'GO:0043565', 'GO:0043565', 'GO:0005634', 'GO:0045944', 'GO:0045944', 'GO:0045944', 'GO:0003677', 'GO:0046872', 'GO:0005634', 'GO:0005634', 'GO:0008270', 'GO:0008270', 'GO:0008270', 'GO:0006351', 'GO:0006355', 'GO:0006355']"
ASH1,"['GO:0000987', 'GO:1900461', 'GO:1900477', 'GO:1900477', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005933', 'GO:0005933', 'GO:0033698', 'GO:0033698', 'GO:0001227', 'GO:0001227', 'GO:0033698', 'GO:0070210', 'GO:0003677', 'GO:0046872', 'GO:0006325', 'GO:0005634', 'GO:0005634', 'GO:0008270', 'GO:0008270', 'GO:0043565', 'GO:0006355', 'GO:0006355', 'GO:0000122', 'GO:0000122']"
ASI1,"['GO:0004842', 'GO:0004842', 'GO:0006511', 'GO:0006511', 'GO:0036369', 'GO:0071230', 'GO:0005637', 'GO:0097658', 'GO:0034399', 'GO:0061630', 'GO:0061630', 'GO:0006511', 'GO:0006511', 'GO:0016567', 'GO:0016567', 'GO:0046872', 'GO:0005634', 'GO:0005637', 'GO:0016020', 'GO:0016021', 'GO:0005637']"
ASI2,"['GO:0003674', 'GO:0006511', 'GO:0006511', 'GO:0036369', 'GO:0071230', 'GO:0005637', 'GO:0097658', 'GO:0005783', 'GO:0005634', 'GO:0005637', 'GO:0016020', 'GO:0016021']"
ASI3,"['GO:0004842', 'GO:0006511', 'GO:0006511', 'GO:0036369', 'GO:0071230', 'GO:0005637', 'GO:0097658', 'GO:0034399', 'GO:0046872', 'GO:0005634', 'GO:0005637', 'GO:0016020', 'GO:0016021', 'GO:0016567']"
ASK1,"['GO:0031116', 'GO:0051987', 'GO:0051987', 'GO:0042729', 'GO:0042729', 'GO:0008017', 'GO:0008017', 'GO:0051010', 'GO:0044732', 'GO:0044732', 'GO:0007049', 'GO:0007059', 'GO:0051301', 'GO:0000775', 'GO:0000776', 'GO:0005634', 'GO:0005634', 'GO:0005694', 'GO:0005737', 'GO:0005819', 'GO:0005856', 'GO:0005874', 'GO:0008608', 'GO:0042729', 'GO:0072686', 'GO:0042729', 'GO:0042729', 'GO:0042729', 'GO:0051010']"
ASK10,"['GO:0016247', 'GO:0034599', 'GO:0034599', 'GO:0044257', 'GO:0090372', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737']"
ASM4,"['GO:0003676', 'GO:0017056', 'GO:0017056', 'GO:0003697', 'GO:0005543', 'GO:0006999', 'GO:0006999', 'GO:0006999', 'GO:0031990', 'GO:0005643', 'GO:0005643', 'GO:0044613', 'GO:0006913', 'GO:0031965', 'GO:0006355', 'GO:0006355', 'GO:0007049', 'GO:0015031', 'GO:0015031', 'GO:0051028', 'GO:0051301', 'GO:0005634', 'GO:0005643', 'GO:0005643', 'GO:0016020', 'GO:0031965', 'GO:0003697', 'GO:0003697', 'GO:0003697', 'GO:0005543', 'GO:0005543', 'GO:0005543', 'GO:0017056', 'GO:0017056', 'GO:0017056', 'GO:0006607', 'GO:0006607', 'GO:0006999', 'GO:0006999', 'GO:0006999', 'GO:0044613', 'GO:0044613', 'GO:0044613', 'GO:0044615', 'GO:0044615']"
ASN1,"['GO:0004066', 'GO:0004066', 'GO:0006529', 'GO:0005829', 'GO:0005829', 'GO:0004066', 'GO:0004066', 'GO:0004066', 'GO:0004066', 'GO:0004066', 'GO:0004066', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0005737', 'GO:0000166', 'GO:0004066', 'GO:0005524', 'GO:0016874', 'GO:0006529', 'GO:0006541', 'GO:0008652', 'GO:0070981', 'GO:0004066', 'GO:0004066', 'GO:0006529', 'GO:0006529']"
ASN2,"['GO:0006529', 'GO:0006529', 'GO:0004066', 'GO:0004066', 'GO:0006529', 'GO:0005829', 'GO:0005829', 'GO:0004066', 'GO:0004066', 'GO:0004066', 'GO:0004066', 'GO:0004066', 'GO:0004066', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0006529', 'GO:0005737', 'GO:0000166', 'GO:0004066', 'GO:0005524', 'GO:0016874', 'GO:0006529', 'GO:0006541', 'GO:0008652', 'GO:0070981', 'GO:0004066', 'GO:0004066']"
ASP1,"['GO:0005737', 'GO:0005737', 'GO:0004067', 'GO:0004067', 'GO:0004067', 'GO:0004067', 'GO:0006530', 'GO:0042597', 'GO:0042597', 'GO:0042597', 'GO:0042597', 'GO:0042597', 'GO:0042597', 'GO:0004067', 'GO:0016787', 'GO:0005737', 'GO:0005737', 'GO:0004067', 'GO:0006520', 'GO:0006528', 'GO:0004067', 'GO:0004067', 'GO:0004067', 'GO:0004067', 'GO:0004067', 'GO:0004067', 'GO:0004067', 'GO:0006530', 'GO:0006530', 'GO:0006530', 'GO:0006530', 'GO:0006530', 'GO:0006530']"
ASP3-1,"['GO:0004067', 'GO:0006530', 'GO:0006995', 'GO:0030287', 'GO:0004067', 'GO:0016787', 'GO:0005576', 'GO:0005576', 'GO:0042597', 'GO:0042597', 'GO:0005635', 'GO:0005783', 'GO:0042597', 'GO:0042597', 'GO:0042597', 'GO:0042597', 'GO:0042597', 'GO:0042597', 'GO:0004067', 'GO:0004067', 'GO:0004067', 'GO:0004067', 'GO:0004067', 'GO:0004067', 'GO:0004067', 'GO:0006530', 'GO:0006530', 'GO:0006530', 'GO:0006530', 'GO:0006530', 'GO:0006530', 'GO:0004067', 'GO:0006520', 'GO:0006528']"
ASR1,"['GO:0004842', 'GO:0000921', 'GO:0016567', 'GO:0016567', 'GO:0045471', 'GO:0005634', 'GO:0005737', 'GO:0046872', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005737']"
AST1,"['GO:0016491', 'GO:0003674', 'GO:0006612', 'GO:0032596', 'GO:0032596', 'GO:0005770', 'GO:0005794', 'GO:0005886', 'GO:0045121', 'GO:0016020', 'GO:0016020']"
AST2,"['GO:0016491', 'GO:0003674', 'GO:0006612', 'GO:0005737', 'GO:0005737']"
ATC1,"['GO:0003674', 'GO:0030003', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005737', 'GO:0007121']"
ATE1,"['GO:0004057', 'GO:0004057', 'GO:0016598', 'GO:0016598', 'GO:0016598', 'GO:0016598', 'GO:0005737', 'GO:0004057', 'GO:0016740', 'GO:0016746', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0004057', 'GO:0004057', 'GO:0004057', 'GO:0004057', 'GO:0004057', 'GO:0004057', 'GO:0004057', 'GO:0016598', 'GO:0016598', 'GO:0016598', 'GO:0016598']"
ATF1,"['GO:0004026', 'GO:1901089', 'GO:1901089', 'GO:1901089', 'GO:0005811', 'GO:0005783', 'GO:0004026', 'GO:0016740', 'GO:0016746', 'GO:0016787', 'GO:0047617', 'GO:0005783', 'GO:0005789', 'GO:0005811', 'GO:0005811', 'GO:0016020', 'GO:0008080', 'GO:0008080']"
ATF2,"['GO:0004026', 'GO:0008202', 'GO:0009636', 'GO:0034209', 'GO:1901089', 'GO:0030176', 'GO:0005737', 'GO:0005783', 'GO:0005783', 'GO:0008080', 'GO:0008080', 'GO:0004026', 'GO:0016740', 'GO:0016746', 'GO:0005783', 'GO:0005789', 'GO:0005811', 'GO:0005811', 'GO:0016020']"
ATG1,"['GO:1990316', 'GO:0000045', 'GO:0004674', 'GO:0004674', 'GO:0004674', 'GO:0004674', 'GO:0004674', 'GO:0000045', 'GO:0000045', 'GO:0000422', 'GO:0006468', 'GO:0006468', 'GO:0006468', 'GO:0006914', 'GO:0032258', 'GO:0032258', 'GO:0034727', 'GO:0044805', 'GO:0046777', 'GO:0046777', 'GO:0061709', 'GO:0000407', 'GO:0000407', 'GO:0000407', 'GO:0000421', 'GO:0005829', 'GO:1990316', 'GO:0061908', 'GO:0120095', 'GO:0004672', 'GO:0006468', 'GO:0005829', 'GO:0000045', 'GO:0000045', 'GO:0000045', 'GO:0000045', 'GO:0004674', 'GO:0004674', 'GO:0004674', 'GO:0004674', 'GO:0004674', 'GO:0004674', 'GO:0004674', 'GO:0004674', 'GO:0004674', 'GO:0000422', 'GO:0000422', 'GO:0000422', 'GO:0000422', 'GO:0034727', 'GO:0034727', 'GO:0044805', 'GO:0044805', 'GO:0061709', 'GO:0061709', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0034045', 'GO:0034045', 'GO:0034045', 'GO:0034045', 'GO:0034045', 'GO:0018105', 'GO:0018105', 'GO:0018105', 'GO:0018105', 'GO:0042594', 'GO:0042594', 'GO:0042594', 'GO:0042594', 'GO:0042594', 'GO:0006995', 'GO:0018105', 'GO:0004674', 'GO:0034497', 'GO:0000166', 'GO:0004674', 'GO:0004674', 'GO:0005524', 'GO:0016301', 'GO:0016740', 'GO:0006914', 'GO:0015031', 'GO:0016310', 'GO:0005737', 'GO:0005737', 'GO:0016020', 'GO:0034045', 'GO:0016236', 'GO:0004672', 'GO:0004672', 'GO:0004674', 'GO:0005524', 'GO:0005524', 'GO:0006468', 'GO:0006468']"
ATG10,"['GO:0006914', 'GO:0019787', 'GO:0019777', 'GO:0000422', 'GO:0016236', 'GO:0032258', 'GO:0034727', 'GO:0044805', 'GO:0005575', 'GO:0019777', 'GO:0016740', 'GO:0006914', 'GO:0015031', 'GO:0016020', 'GO:0034045', 'GO:0032446', 'GO:0032446', 'GO:0032446', 'GO:0032446']"
ATG11,"['GO:0034497', 'GO:0034497', 'GO:2000786', 'GO:0000045', 'GO:0031503', 'GO:0000422', 'GO:0030242', 'GO:0032258', 'GO:0032258', 'GO:0034497', 'GO:0034727', 'GO:0061709', 'GO:0000407', 'GO:0019898', 'GO:0000149', 'GO:0034497', 'GO:0019898', 'GO:0019898', 'GO:0034045', 'GO:0034045', 'GO:0000045', 'GO:0000422', 'GO:0034517', 'GO:0060090', 'GO:0060090', 'GO:0060090', 'GO:0019901', 'GO:0019901', 'GO:0000045', 'GO:0000045', 'GO:0000045', 'GO:0000045', 'GO:0000422', 'GO:0000422', 'GO:0000422', 'GO:0000422', 'GO:0000422', 'GO:0030242', 'GO:0030242', 'GO:0034727', 'GO:0034727', 'GO:1990316', 'GO:1990316', 'GO:1990316', 'GO:1990316', 'GO:0061709', 'GO:0061709', 'GO:0061709', 'GO:0001934', 'GO:0001934', 'GO:0001934', 'GO:0006914', 'GO:0015031', 'GO:0005773', 'GO:0005774', 'GO:0016020', 'GO:0034045', 'GO:0006914', 'GO:0140255', 'GO:0060090']"
