gene,goId
ABP1,"['GO:0051015', 'GO:0000147', 'GO:0051016', 'GO:0005938', 'GO:0030479', 'GO:0030479', 'GO:0005737', 'GO:0043332', 'GO:0003779', 'GO:0005737', 'GO:0005856', 'GO:0030479', 'GO:0005884', 'GO:0005884', 'GO:0005884', 'GO:0005884', 'GO:0005884', 'GO:0051015', 'GO:0051015', 'GO:0051015', 'GO:0051015', 'GO:0051015', 'GO:0051015', 'GO:0051015', 'GO:0030833', 'GO:0030833', 'GO:0030833', 'GO:0030833', 'GO:0030833', 'GO:0030833', 'GO:0030833', 'GO:0030833', 'GO:0005886', 'GO:0005886', 'GO:0005886', 'GO:0005886', 'GO:0005886', 'GO:0005886', 'GO:0005886', 'GO:0005886', 'GO:0005886', 'GO:0030427', 'GO:0030427', 'GO:0030427', 'GO:0030427', 'GO:0030427', 'GO:0030427', 'GO:0030864', 'GO:0030864', 'GO:0030864', 'GO:0030864', 'GO:0044379', 'GO:0044379', 'GO:0044379', 'GO:0044379', 'GO:0044379', 'GO:2000601', 'GO:0030479', 'GO:0003779']"
ABP140,"['GO:0030674', 'GO:0051015', 'GO:0052735', 'GO:0052735', 'GO:0052735', 'GO:0030488', 'GO:0030488', 'GO:0005884', 'GO:0032432', 'GO:0043332', 'GO:0003779', 'GO:0008168', 'GO:0016740', 'GO:0008033', 'GO:0032259', 'GO:0005737', 'GO:0005737', 'GO:0005856', 'GO:0005856', 'GO:0052735', 'GO:0052735', 'GO:0052735', 'GO:0052735', 'GO:0052735']"
ABZ1,"['GO:0046820', 'GO:0046820', 'GO:0046820', 'GO:0008153', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0003824', 'GO:0016740', 'GO:0046820', 'GO:0006541', 'GO:0008152', 'GO:0046654', 'GO:0046656', 'GO:0005737', 'GO:0005737', 'GO:0046820', 'GO:0046820', 'GO:0046820', 'GO:0046820', 'GO:0008153', 'GO:0008153', 'GO:0008153', 'GO:0009058', 'GO:0009058', 'GO:0009058']"
ABZ2,"['GO:0008696', 'GO:0046656', 'GO:0005737', 'GO:0008696', 'GO:0016829', 'GO:0046654', 'GO:0046656', 'GO:0005737', 'GO:0005737', 'GO:0003824', 'GO:0003824']"
ACA1,"['GO:0043565', 'GO:0045944', 'GO:0005634', 'GO:0005634', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0001228', 'GO:0006355', 'GO:0001228', 'GO:0003677', 'GO:0003700', 'GO:0005634', 'GO:0005634']"
ACB1,"['GO:0005576', 'GO:0005576', 'GO:0008289', 'GO:0005634', 'GO:0005737', 'GO:0005829', 'GO:0036042', 'GO:0042761', 'GO:0000062', 'GO:0000062']"
ACC1,"['GO:0003989', 'GO:0003989', 'GO:0004075', 'GO:0006606', 'GO:0042759', 'GO:0005789', 'GO:0005739', 'GO:0005739', 'GO:0005829', 'GO:0000166', 'GO:0003824', 'GO:0003989', 'GO:0004075', 'GO:0005524', 'GO:0016874', 'GO:0046872', 'GO:0006629', 'GO:0006631', 'GO:0006633', 'GO:0008152', 'GO:2001295', 'GO:0005737', 'GO:0005737', 'GO:0005783', 'GO:0005789', 'GO:0016020', 'GO:0005524', 'GO:0005524', 'GO:0005524', 'GO:0005524', 'GO:0016874', 'GO:0046872', 'GO:0006633']"
ACE2,"['GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0000987', 'GO:0000083', 'GO:0000083', 'GO:0000122', 'GO:0045944', 'GO:0060196', 'GO:2001043', 'GO:0005634', 'GO:0005634', 'GO:0005829', 'GO:0005829', 'GO:0043565', 'GO:0005634', 'GO:0005737', 'GO:0003677', 'GO:0046872', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0000981', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000978', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981', 'GO:0000981']"
ACF2,"['GO:0052861', 'GO:0042973', 'GO:0042973', 'GO:0042973', 'GO:0030036', 'GO:0009986', 'GO:0009986', 'GO:0009986', 'GO:0005575', 'GO:0016787', 'GO:0016798', 'GO:0052861', 'GO:0052862', 'GO:0008152', 'GO:0005737', 'GO:0005737', 'GO:0042973', 'GO:0042973', 'GO:0042973', 'GO:0042973', 'GO:0042973']"
ACF4,"['GO:0003674', 'GO:0008150', 'GO:0005575']"
ACH1,"['GO:0003986', 'GO:0008775', 'GO:0006083', 'GO:0005739', 'GO:0005829', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0003986', 'GO:0016787', 'GO:0005737', 'GO:0005737', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0008775', 'GO:0006083', 'GO:0019679', 'GO:0003986', 'GO:0003986', 'GO:0003986', 'GO:0003986', 'GO:0008775', 'GO:0008775', 'GO:0006083', 'GO:0006083', 'GO:0006083']"
ACK1,"['GO:0003674', 'GO:0009967', 'GO:0031505', 'GO:0005739', 'GO:0005739']"
ACM1,"['GO:1904667', 'GO:1904667', 'GO:1904667', 'GO:1904667', 'GO:1904667', 'GO:1904667', 'GO:1904667', 'GO:1904667', 'GO:1904667', 'GO:0055105', 'GO:0055105', 'GO:0055105', 'GO:0055105', 'GO:0055105', 'GO:0055105', 'GO:0005634', 'GO:0005737', 'GO:0007049', 'GO:0051301']"
ACO1,"['GO:0003690', 'GO:0003697', 'GO:0003994', 'GO:0003994', 'GO:0000002', 'GO:0006099', 'GO:0005759', 'GO:0005829', 'GO:0042645', 'GO:0005739', 'GO:0005739', 'GO:0003994', 'GO:0016829', 'GO:0046872', 'GO:0047780', 'GO:0051536', 'GO:0051539', 'GO:0006099', 'GO:0006099', 'GO:0005737', 'GO:0005737', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0003994', 'GO:0051539', 'GO:0006099', 'GO:0003729', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0051539', 'GO:0051539', 'GO:0051539', 'GO:0051539', 'GO:0006099', 'GO:0006099', 'GO:0006099', 'GO:0006099', 'GO:0006099', 'GO:0006099', 'GO:0006099']"
ACO2,"['GO:0006099', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0016829', 'GO:0046872', 'GO:0051536', 'GO:0051539', 'GO:0008652', 'GO:0009085', 'GO:0019878', 'GO:0005739', 'GO:0005739', 'GO:0006099', 'GO:0003994', 'GO:0051539', 'GO:0051539', 'GO:0051539', 'GO:0051539', 'GO:0051539', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994', 'GO:0003994']"
ACS1,"['GO:0016208', 'GO:0019427', 'GO:0003987', 'GO:0016880', 'GO:0006085', 'GO:0016573', 'GO:0019654', 'GO:0005829', 'GO:0005739', 'GO:0005739', 'GO:0000166', 'GO:0003987', 'GO:0005524', 'GO:0016874', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005737', 'GO:0005739', 'GO:0005739', 'GO:0005783', 'GO:0043231', 'GO:0003987']"
