VPS1
LYS21
CCW12
OST4
ARP2
ATX1
RPS24B
SRV2
VMA8
MDH3
SBP1
DUG1
LSC1
SSA3
PYC2
SEC53
ARB1
PAM17
ACC1
ZUO1
SER1
MFA2
GPP1
INH1
TRP5
TKL1
CLC1
IMD3
PUB1
ATP20
MCR1
PYC1
UGP1
RPS7B
SDH3
CHC1
PMP2
HSP31
CPR6
CYS4
HOM6
GRX1
EGD1
HBT1
RPL12A
FAS2
IDP2
NQM1
GUK1
FAA1
GSP2
RPL33B
CWP2
HHT1
YRO2
PET10
GLN1
RPS27A
LEU4
MIX17
AIM17
SNA2
SOL4
SBA1
DPS1
SAC6
GAS1
MRP8
GSY2
RPL1A
TUF1
VMA10
ECM15
ADH3
RPL4B
AIM41
TRX1
YET3
GRS1
SSA4
ARC1
TMA17
OLA1
HIS4
SGT2
FUM1
PST2
CYT1
PFY1
ADE17
TFS1
RPL6B
HSP42
SSZ1
RPL27B
ABP1
HXT7
RIB4
ILS1
SIS1
RPL14B
VMA13
ILV3
MPC2
RPL13A
BMH2
RPL16A
ADE3
GRE3
QCR6
TMA7
PCS60
OM45
RTN2
ATP14
EFT2
STI1
RPL17B
HSP10
VMA1
RPL9B
RPS28B
FAS1
LYS20
RPL11B
HYR1
IDH1
MSC1
COX6
ERG10
RPS26B
GDH1
TPS1
COX5A
ADK1
LAT1
VMA2
RPS28A
FMP45
ACB1
SDH1
FMP16
PFK2
OYE2
SDH4
YNK1
SDH2
RPL9A
RPL19B
PRX1
QCR7
KGD2
GPD1
COR1
GCV3
GPH1
RPS25B
SPG4
MDH2
SSE1
RPL26A
RPS21B
PFK1
CDC48
ACS1
TIF1
COX4
MMF1
YOP1
RPS6B
CTT1
PDA1
RDL1
PMP3
RPL26B
RPS0B
RPS19A
VMA4
HSP82
HTA2
MBF1
DDR2
RPL24A
STF1
RPS10B
IDH2
RNR4
LYS12
RPS29A
IPP1
RPL8B
ATP7
RTN1
DDR48
MET6
RPS0A
RPL34A
ILV5
AAT2
STF2
TAL1
RPS10A
RPP2B
EGD2
RPS1A
PAI3
TMA10
TMA19
RPS17A
HSP104
RPS6A
HTB2
RPL4A
RNR2
ATP5
FPR1
PCK1
LYS9
RPL37B
LSP1
RPS30B
SOD2
PNC1
LPD1
SHM2
RPL41A
RGI1
RPS1B
SSA2
RPS17B
OM14
STM1
HXK2
QCR2
SSB1
PGM2
TRX2
ADH4
ALD6
WTM1
TDH2
RPL41B
ICL1
RPP1B
RPS25A
HSP30
ALD4
GLK1
ATP1
PIL1
HOR7
GND1
RPL37A
RTC3
MLS1
ACH1
PMA1
ACO1
RPP2A
SOD1
SSB2
MRH1
YEF3
MDH1
HXK1
PSA1
GRE1
HSC82
CIT1
RPL29
CPR1
SED1
PBI2
ATP2
NCE102
SPO24
TPI1
TSA1
SIP18
AHP1
SSA1
ENO1
GPM1
HSP12
HSP26
PGK1
PDC1
TDH3
